its my job	é o meu trabalho
dont hang up	não desliga
are you tom	você é o tom
dont go in	não entre
well do it	nós faremos isso
youre young	você é jovem
i want tom	quero o tom
bring it back	tragam de volta
i cant surf	eu não sei surfar
im prepared	estou preparada
im drunk	eu estou embriagado
nobody asked	ninguém perguntou
he could die	ele poderia morrer
hello girls	olá garotas
is it here	é aqui
how old is he	quantos anos ele tem
i never win	eu não ganho nunca
he will come	ele virá
i eat a lot	eu como muito
im offended	estou ofendido
thats mine	essa é minha
i am american	eu sou norteamericano
its the law	é a lei
come quick	venha logo
youre shy	vocês estão tímidos
is tom ready	tom está pronto
tom is weak	tom está fraco
i am a boy	eu sou um garoto
time flies	o tempo voa
youre lying	você mente
go inside	vai para dentro
i found it	eu o encontrei
go with tom	vá com o tom
was it good	estava bom
come here	venha aqui
im hurt	estou machucado
i hate beans	eu odeio feijão
fix the clock	conserte o relógio
welcome home	bemvindo a casa
its similar	é parecido
i was afraid	eu estava com medo
tom loves me	tom me ama
toms polite	o tom é educado
im not in	eu não estou dentro
tom is wary	tom está desconfiado
tom grunted	tom grunhiu
im furious	estou furioso
i didnt look	eu não olhei
i will shoot	eu irei atirar
im stuffed	estou cheia
shut up	calemse
youve won	você ganhou
follow me	sigamme
is tom sick	o tom está doente
ive tried	eu tentei
i love you	amoa
im so full	estou tão cheio
hold on a sec	só um segundinho
take command	assuma o controle
they fell	eles sentiram
thats her	é ela
talk to us	fale conosco
i talk fast	eu falo rápido
im better	estou melhor
bring help	tragam ajuda
im pregnant	eu estou grávida
i will shoot	vou atirar
its a fake	é uma imitação
say it again	repita
we need this	nós precisamos disto
i said that	eu disse isso
im ticklish	eu sinto cócegas
feel this	sinta isso
i am divorced	sou divorciado
drive slowly	dirija devagar
i screamed	eu gritei
dont come in	não entre
im all ears	sou todo ouvidos
im untidy	sou desorganizada
be ruthless	seja impiedoso
should we go	nós deveríamos ir
shut it down	desliga isso
please hurry	por favor apressemse
dont stop	não pare
tomll stay	tom vai ficar
he is asleep	ele está dormindo
it saved me	ele me salvou
she knows me	ela me conhece
i want time	quero tempo
im hungry	tenho fome
do what i say	faça o que eu digo
take it easy	tenha calma
please smile	sorria por favor
is it yours	é seu
i am hot	estou com calor
happy easter	feliz páscoa
we loved tom	adorávamos o tomás
i did my part	eu fiz a minha parte
come quickly	venha depressa
youre old	és velho
can he do it	ele consegue fazer isso
what a pity	que pena
whos coming	quem está vindo
mama cried	mamãe chorou
i paid	eu paguei
its my book	esse é meu livro
tell tom	contem ao tom
i fixed it	eu o consertei
keep it	fique com ele
tom blushed	tom morreu de vergonha
ill go in	eu vou entrar
they won	eles ganharam
i burped	eu arrotei
i am hungry	quero comer
were upset	nós estamos chateados
i wont tell	eu não vou dizer
ill lose	vou perder
i am a boy	sou menino
they know me	eles me conhecem
count me in	conte comigo
ill be fine	eu vou ficar bem
its work	é trabalho
she can swim	ela pode nadar
got it	saquei
tom waited	tom esperou
its a doll	é uma boneca
tom was wet	tom estava molhado
we broke up	nós terminamos
im in rome	estou em roma
stay awake	fique acordado
its time	está na hora
ill be here	estarei aqui
they hugged	eles se abraçaram
i bought it	eu comprei
let him in	deixeo entrar
is that a no	isso é um não
i love you	amovos
we like it	gostamos
i cant see	eu não posso ver
im chubby	sou gordinho
can we start	podemos começar
im married	sou casado
im with ntt	eu trabalho na ntt
tom can sing	tom sabe cantar
all is quiet	tudo está calmo
its red	isso é vermelho
toms deaf	o tom é surdo
hes coming	ele está vindo
im on leave	estou de partida
be fair	seja justa
what a drag	que chato
be creative	sê criativo
tom flinched	tom recuou
taste this	experimentem isto
i like you	eu gosto de você
come get some	venha pegar alguns
i want these	quero aquelas
we were cold	nós estávamos com frio
tom had fun	tom se divertiu
what a night	que noite
they stopped	eles pararam
now sit down	agora sente
youre rich	você é rico
im happy	sou feliz
never mind	esqueça
lets chat	vamos conversar
do you fish	você pesca
it matters	importa
isnt it fun	não é divertido
you did this	você fez isso
tom cheated	o tom trapaceou
is tom cured	o tom está curado
i feel happy	sintome feliz
i love math	eu adoro matemática
im famous	estou famoso
get down	abaixese
tom likes it	tom gosta disso
put it on	coloqueo
i want that	eu quero aquilo
who saw me	quem me viu
ill ask tom	eu perguntarei ao tom
i get it	eu entendo
say hello	diga olá
i do my best	eu faço o que posso
dont move	não se mova
ill get in	eu vou entrar
i like music	eu gosto de música
tom likes me	tom gosta de mim
i feel cold	sinto frio
im too fat	eu sou gordo demais
here we are	aqui estamos
i did see him	eu o vi
are you busy	estás ocupado
taste this	prove isto
i hate you	te odeio
i came by car	eu vim de carro
i am lost	estou perdido
thanks again	obrigado novamente
im retired	estou aposentado
dont give up	não desista
they danced	elas dançaram
be serious	fique séria
just do that	apenas faça
can i do this	eu posso fazer isso
take it easy	pega leve
take it	peguemna
im wise	eu sou sábio
were calm	nós somos calmos
im a farmer	eu sou um fazendeiro
tom is hurt	tom está ferido
this is easy	isso é fácil
let me alone	deixame em paz
keep writing	continuem escrevendo
i have	tenho us
whats that	o que que é aquilo
i feel happy	eu me sinto feliz
can he do it	ele pode fazer isso
youll do it	você o fará
she is happy	ela é feliz
come back	voltem
keep quiet	fique quieta
i need water	eu preciso de água
hold it	segure isso
please hurry	por favor apressese
stop staring	pare de encarar
i like you	eu gosto de vocês
i like dogs	gosto de cachorros
i didnt swim	eu não nadei
are you sure	você está certo disso
welcome home	bemvindo ao lar
can i begin	posso começar
tom prayed	tom rezou
im happy	estou feliz
we want it	queremos
dont shoot	não atire
forget me	esqueçame
who was that	quem era esse
its a tv	isto é uma tv
meat please	carne por favor
i didnt win	eu não ganhei
tom is a pro	tom é profissional
toms coming	tom está vindo
thats free	é de graça
im prudent	eu sou prudente
i can feel it	posso sentilo
im strong	sou forte
im yours	eu sou sua
she came	ela veio
im eating	eu estou comendo
is this mine	isso é meu
im drowning	estou me afogando
lets go	vamos
thats over	acabou
go home now	vai para casa agora
be discreet	seja discreta
heres	aqui estão dólares
hes a dj	ele é dj
lets listen	vamos ouvir
i see a star	vejo uma estrela
it may rain	talvez chova
im not lazy	não sou preguiçoso
i think so	eu acho que sim
im a father	sou um pai
it was cool	foi legal
were sick	nós estamos doentes
be punctual	seja pontual
bring him in	tragao para dentro
go away tom	vá embora tom
im no fool	eu não sou idiota
have a look	dê uma olhadela
theyre mine	são meus
say please	falem por favor
ill check	verificarei
were hungry	nós estamos com fome
youre old	o senhor é velho
are you new	você é novo
i was sleepy	eu estava com sono
thats new	isso é novo
take a look	olha
dont smoke	não fume
i cant see	não consigo ver
youre tired	tu estás cansado
theyll know	eles vão saber
im retired	sou aposentado
try to rest	tente descansar
tom will win	tom vai vencer
i need it	eu preciso
they gave up	elas desistiram
i know now	agora sei
she is young	ela é jovem
i will shoot	eu vou atirar
here i come	estou vindo
im here	eu estou aqui
be sensible	tenha bom senso
whos that	quem é aquela
is that okay	está bem
im sneaky	sou sorrateiro
im bossy	eu sou mandão
i forgot it	eu esqueci
its no good	não é bom
we found one	nós encontramos uma
aint he cute	ele não é bonitinho
is it a trap	é uma armadilha
it cant be	mentira
youre early	você está adiantada
forget it	esquece
show him in	mandeo entrar
im stuffed	estou cheio
it was white	era branco
im fine now	estou bem agora
what a waste	que disperdício
make a wish	faça um desejo
sit still	fique parada
come inside	entre
youre shy	tu és tímido
i cant ski	eu não sei esquiar
im broke	estou duro
we can pay	a gente pode pagar
i feel lost	me sinto perdido
study hard	estudem muito
i trust tom	eu confio em tom
im not dead	eu não estou morto
we had lunch	almoçamos
i cant sleep	não posso dormir
i can win	eu posso ganhar
buy some toys	comprem brinquedos
will he die	ele vai morrer
im an adult	eu sou adulto
how many died	quantos morreram
we have food	temos alimento
no way	de maneira alguma
im naked	estou pelada
youre old	tu estás velho
im curious	eu sou curioso
i mean it	estou falando sério
wait a bit	espere um minuto
i like that	eu gosto
we met today	nós nos encontramos hoje
were upset	estamos chateados
is this true	isso é verdade
i have food	eu tenho comida
come sit down	venha se sentar
we like it	nós gostamos disso
take care	se cuida
keep out	afastese
i use this	eu uso isto
is this it	é isso
tom is drunk	tom está bêbado
it is a book	este é um livro
is it clear	está claro
i got upset	eu fiquei chateado
i will work	vou trabalhar
i see a book	vejo um livro
no one came	ninguém veio
welcome home	bemvindo a casa
dont speak	não fales
have a seat	sentese
they cheered	elas aplaudiram
we succeeded	nós conseguimos
hi im tom	oi eu sou o tom
tom is going	tom está indo
i remember	eu lembro
i wont lie	não vou mentir
im very shy	eu sou muito tímido
well done	bravo
let me sleep	deixeme dormir
do it again	faça de novo
im old	eu estou velho
im homeless	sou desabrigado
i often read	leio frequentemente
i do like you	gosto muito de você
i cant smoke	eu não posso fumar
they hate me	eles me odeiam
im alive	estou viva
what is new	o que há de novo
who died	quem morreu
be nice	seja legal
i love you	eu amo vocês
is that mine	essa é minha
i cried too	eu chorei também
am i wrong	estou errada
youre sad	você está triste
toms greedy	tom é ganancioso
tom cant go	tom não pode ir
i can ski	eu sei esquiar
welcome home	bemvindos à casa
im joking	estou brincando
he is ill	ele está doente
i escaped	eu escapei
im not ugly	eu não sou feio
look around	olhe ao seu redor
am i early	eu cheguei cedo
it is	são sete horas e quarenta e cinco minutos
this is cool	isto é legal
this is nice	é legal
im going	eu vou
were dizzy	estamos tontos
tom rocks	tom arrebenta
am i late	estou atrasado
he can swim	ele pode nadar
i was drunk	eu estava embriagado
be creative	sejam criativas
am i dreaming	estou sonhando
i knew it	eu sabia
youre timid	você é tímido
i saved tom	eu salvei tom
are you awake	você está acordada
call me later	ligue para mim depois
dont be mean	não seja mau
we loved you	nós amávamos você
stand up	levantese
help me	ajudemme
theyre back	elas voltaram
warn tom	avise ao tom
he never lies	ele nunca mente
i drank milk	eu bebia leite
you may stay	os senhores podem ficar
see you	a gente se vê
excuse me	o que você disse
you run	você corre
im so fat	eu sou tão gordo
thats odd	isso é bizarro
he loves them	ele os ama
can i try it	posso provar
be fair	sejam justas
sit here	sentese aqui
no means no	não quer dizer não
dont litter	não jogue lixo
she is happy	ela está feliz
be serious	fica séria
i miss tom	sinto saudades do tom
thanks a lot	muito obrigada
hold it	segura isso
tom is a fan	tom é um fã
ask tom	perguntem ao tom
go away	cai fora daqui
be prepared	estejam preparadas
do me a favor	façame um favor
let me out	deixeme sair
i like sushi	eu gosto de sushi
i saw it	eu o vi
i exercised	me exercitei
are they busy	elas estão ocupadas
youre weak	você está fraco
tom walks	tom caminha
are they tall	eles são altos
where am i	onde estou
come tomorrow	venham amanhã
i love you	amo a vós
ill ask tom	vou perguntar para o tom
keep quiet	fique quieto
theyre mine	eles são meus
i panicked	eu entrei em pânico
watch me	observeme
you look sad	você parece triste
look at that	olhem para isso
have a beer	toma uma cerveja
tom got sick	tom adoeceu
it matters	isso importa
we tried	nós tentamos
shut up	cale a boca
i didnt cry	eu não chorei
me too	eu também
im ugly	estou feio
i see a rose	estou vendo uma rosa
its too far	isso está longe demais
i want soup	quero sopa
you survived	vocês sobreviveram
slow down	devagar
well attack	nós atacaremos
try it	proveo
i feel silly	me sinto idiota
here or to go	pra viagem ou pra comer aqui
what for	para quê
i love pizza	eu amo pizza
its so big	é muito grande
cool down	acalmese
ive seen it	eu vi isso
its ok	tá bom
keep quiet	fica quieta
i stayed	eu fiquei
tom helped	tom ajudou
im a mess	eu sou uma bagunça
were inside	nós estamos dentro
i will obey	eu irei obedecer
youre lying	você está mentindo
that worked	aquilo funcionou
tom is fair	tom é justo
forget it	esquece
they called	elas ligaram
stop trying	pare de tentar
tom coughed	tom tossiu
who stole it	quem a roubou
we love you	nós te amamos
we have wine	temos vinho
im yours	sou sua
tom worked	tom trabalhou
i have one	eu tenho um
im very shy	sou muito tímido
i know them	eu os conheço
do you agree	está de acordo
im small	eu sou pequena
tom moved	tom se mudou
tom ran	tom correu
youre kind	você é simpática
tom is safe	tom está seguro
how was tom	como tom estava
please hurry	por favor apressese
im humble	sou humilde
he needs you	ele precisa de ti
dont shout	não grite
tom noticed	tom notou
is it an elk	é um alce
we want it	queremos isso
i want these	quero aqueles
be discreet	seja discreto
they left	eles saíram
she is wrong	ela está equivocada
tom grunted	tom resmungou
here it is	aqui está
smell this	cheire isto
i liked tom	eu gostei de tom
they saw you	eles viram vocês
now sit down	agora senta
tom has it	tom tem isso
take a look	olhe
im deaf	sou surdo
tom is sexy	tom é sexy
we live here	nós moramos aqui
its my life	é minha vida
i am at home	estou em casa
im hiding	eu estou me escondendo
i cant smoke	não posso fumar
toms smart	tom é inteligente
i am thai	sou tailandês
here you are	aqui está você
go now	vá agora
take action	tome uma atitude
i do not work	eu não trabalho
it has begun	começou
it cant be	não pode ser
welcome back	bemvindo de volta
toms eating	tom está comendo
well do it	faremos
dont be shy	não sejas tímido
his nose bled	o seu nariz sangrava
thats hers	é dela
im with tom	eu estou com tom
i was right	eu estava certo
im speaking	eu estou falando
i saw tom	vi o tom
youre fine	você está bem
whos buying	quem está comprando
i like wine	eu gosto de vinho
go away	afastese
theyre lost	eles estão perdidos
its my ship	é o meu navio
be kind	seja gentil
tom lied	tom mentiu
is tom alive	o tom está vivo
we want one	nós queremos um
no kidding	sério
im leaving	estou indo
theyre fine	eles estão bem
this is free	isso é de graça
im not busy	eu não estou ocupado
be brief	seja breve
i have a pen	eu tenho uma caneta
shut up	calese
come on in	entre
dont get mad	não fique brava
are you mad	estás tolo
she smiled	ela sorria
we are men	somos homens
i hate fish	eu odeio peixe
happy easter	feliz páscoa
be confident	sede confiantes
they are big	eles são grandes
is he tall	ele é alto
i got bored	eu fiquei entediado
i saw them	eu os vi
im fat	eu estou gorda
do your best	faça o melhor possível
i lost hope	eu perdi a esperança
ive changed	eu mudei
i saw one	eu vi uma
i hear that	escuto aquilo
i loved you	ameia
im bored	eu estou entediado
say goodbye	diga adeus
let me help	deixeme ajudar
im healthy	estou saudável
tom was old	tom era velho
calm down	acalmese
youre weak	tu estás fraco
im hungry	estou com fome
fire burns	o fogo queima
i sympathize	eu me simpatizo
youre nuts	está louco
life is good	a vida é boa
tom is heavy	tom é pesado
im not you	eu não sou você
stop it	pare com isso
it rained	estava chovendo
i like you	gosto de vocês
am i right	eu estou certa
keep them	fique com elas
this is real	é real
youre weak	tu és fraco
youre lost	você está perdida
i am ready	estou pronto
i got hungry	eu fiquei com fome
i do want it	eu quero muito
how is tom	como tom está
we try	nós tentamos
i won	ganhei
listen	escuta
are you going	você está indo
think again	pense de novo
help me out	me ajude
he liked that	ele gostou disso
my feet hurt	meus pés doem
im coming	estou vindo
did you sign	você assinou
im trying	eu estou tentando
whos there	quem está lá
come back	volte
can you swim	você sabe nadar
youre right	você está certa
keep it up	continue
tom groaned	tom gemeu
start here	comece aqui
tom fell	tom caiu
i like girls	gosto de garotas
mary giggled	mary ria à socapa
tom is happy	tom é feliz
i was tired	eu estava cansado
tom knows us	tom nos conhece
we need them	a gente precisa delas
tom resigned	tom renunciou
i like beef	eu gosto de carne de boi
are you fat	você é gorda
i scared tom	eu assustei tom
show me	me mostra
tom broke it	o tom quebrou isso
have another	tomem outro
he gave in	ele cedeu
its so big	isso é tão grande
he can swim	ele sabe nadar
tom needs me	tom precisa de mim
it worked	funcionou
its sweet	é doce
wow	wow
i am in paris	estou em paris
we got ready	nos preparamos
you owe me	você me deve
were mature	estamos maduros
toms young	o tom está jovem
he has a maid	ele tem uma empregada
tom is neat	tom é legal
its not us	não somos nós
are you sure	vocês têm certeza
is it good	isso é bom
be discreet	sê discreto
bring help	traga ajuda
tom broke it	tom quebrou isso
i made that	eu fiz aquilo
i am hungry	estou com fome
cool off	acalmese
come in	entrem
get lost	váse embora
now get out	agora caia fora
its yen	custa ienes
i eat meat	eu como carne
who stayed	quem ficou
im timid	eu sou tímido
are you mad	você é louco
we can swim	a gente sabe nadar
dont kiss me	não me beije
how cute	que fofinha
i felt cold	fiquei com frio
youre nuts	você está maluco
im working	eu estou trabalhando
tom knew it	tom sabia
he is my boss	ele é meu patrão
did you vote	você votou
please stop	por favor pare
tomll talk	tom vai falar
i am full	estou cheia
i like tom	eu gosto do tom
no one cares	ninguém está nem aí
i can dance	eu sei dançar
be merciless	seja piedoso
are you nuts	estás louco
we all quit	nós todos saímos
have a look	dê uma vista de olhos
we did it	nós conseguimos
take care	te cuida
were mature	nós somos maduros
i loved you	amavate
it cant be	impossível
im curious	quero saber
its for me	é para mim
is this nice	isto é legal
is it broken	está quebrado
he is a dj	ele é dj
ill ask him	irei perguntálo
i got soaked	eu fiquei ensopado
i quit	eu me demito
well do it	faremos isso
im excited	estou excitado
he has a book	ele tem um livro
i hate them	eu os odeio
is tom safe	o tom está seguro
its close	está perto
goodbye	até mais
stop that	parem com isso
its here	é aqui
i want it	quero isso
why not both	por que não ambos
tom was gone	o tomás foise embora
look back	olha pra trás
is it free	é de graça
well pass	nós passaremos
its easy	é fácil
bring it here	traga aqui
its for you	é para vocês
i try	eu tento
do it gently	faz com gentileza
i need mine	preciso do meu
is that tom	é o tom
tom is late	o tom está atrasado
it was tom	foi o tom
she slipped	ela escorregou
take action	tomem uma atitude
can i come in	posso entrar
they approve	aprovam
dont cry	não chorem
be fair	sede justas
am i fat	estou gorda
dont smoke	não fumem
wholl fight	quem lutará
im wet	estou molhada
i had to run	eu tive de correr
who built it	quem o construiu
be creative	sê criativa
were losers	somos perdedores
youve won	vocês venceram
are you there	vocês estão aí
tom was busy	tom estava ocupado
im not free	eu não sou livre
itd be bad	isso seria ruim
are you going	vocês estão indo embora
is this real	isso é real
im bushed	estou exausto
itll happen	isso vai acontecer
i need money	eu preciso de dinheiro
who made it	quem fez isso
i do want it	quero muito isso
youre cute	vocês são bonitas
you start	você começa
be kind	sede gentis
who ate	quem comeu
ive seen it	eu o vi
take a whiff	dê uma cheirada
she walks	ela caminha
im prudent	sou prudente
am i hungry	estou com fome
i tripped	eu tropecei
watch out	cuidado
im fit	estou em forma
im full	estou cheio
i dont agree	não concordo
turn right	vire à direita
i like dogs	eu gosto de cachorro
this is free	é grátis
what a mess	que bagunça
well dance	nós dançaremos
did you sing	vocês cantaram
be discreet	sejam discretos
im canadian	eu sou canadense
im not deaf	eu não sou surdo
where is she	onde está ela
she loves us	ela nos ama
are you here	você está aqui
how far is it	a que distância está
youve grown	você cresceu
im in here	estou aqui dentro
im athletic	eu sou atlético
im upset	estou chateada
i like jazz	eu gosto de jazz
be a good boy	seja inteligente
are they dead	elas estão mortas
try it on	experimentea
i promise	eu prometo
i am injured	estou machucada
i didnt win	eu não venci
toms alone	tom está sozinho
dont come	não venhas
i believe you	eu acredito em você
smile	sorria
dont shoot	não atirem
i drove	eu dirigi
i improvised	eu improvisei
youre cute	tu és bonita
im not done	ainda não estou pronto
i hate that	odeio isso
im in paris	estou em paris
tom saw them	tom viu elas
they approve	elas aprovam
im lonely	eu me sinto só
i read a lot	leio muito
stay there	fica aí
im creative	eu sou criativo
hes lying	ele está mentindo
tom isnt in	o tom não está dentro
i admit it	eu admito
lets play	vamos brincar
has he come	ele veio
im wet	estou molhado
youre old	estais velhas
im ugly	sou feia
toms upset	o tom está triste
i kissed tom	eu beijei tom
step forward	um passo à frente
whose is it	de quem é
dont go tom	não vá tom
who phoned	quem ligou
dance with me	dance comigo
i love you	eu amo você
i want time	eu quero tempo
he is no fool	ele não é idiota
seriously	mesmo
i love books	eu adoro livros
i talk fast	falo rápido
get upstairs	suba
theyre cool	elas são legais
i cant sleep	eu não consigo dormir
he came	ele veio
i could help	eu poderia ajudar
youre lost	vocês estão perdidos
i love snow	eu adoro neve
i got caught	fui pego
tom is naked	o tom está nu
of course	é claro
i always win	eu sempre ganho
shes happy	ela está feliz
i am a boy	sou um garoto
tom likes it	o tom gosta
try this	experimente isto
let me in	deixeme entrar
it burned	queimou
you hurt him	tu o feriste
we met today	nós nos conhecemos hoje
start again	comecem de novo
stay close	fique perto
dont respond	não responda
im yours	sou seu
is he tom	é ele o tom
tom is bad	tom é mau
tom is blind	tom é cego
tom did this	tom fez isto
get a job	arrume um emprego
im starving	eu estou morrendo de fome
trust in god	confie em deus
i am happy	sou feliz
did tom win	o tom venceu
keep that	fique com isso
this is food	isso é comida
ill wait	esperarei
i overslept	dormi demais
i work	eu estou trabalhando
im so fat	estou tão gorda
hes rich	ele é rico
thisll work	isso vai funcionar
keep dancing	continue dançando
i often ski	esquio com frequência
stop tom	interrompa o tom
dont be shy	não fique com vergonha
im resting	estou descansando
finish this	termine isso
terrific	genial
be specific	seja específico
i envy him	eu o invejo
write to me	escrevame
tom giggled	tom deu uma risadinha
its for you	isso é para vocês
who stole it	quem o roubou
im thin	sou magro
i will come	eu virei
i love dogs	eu amo cães
i work a lot	trabalho muito
i like girls	eu gosto de garotas
im alive	estou vivo
i have a dog	eu tenho um cachorro
theyre safe	eles estão seguros
help me	ajudemme
dont shoot	não atire
tom dances	tom dança
be careful	tome cuidado
i agree	eu concordo
did you swim	vocês nadaram
they saw you	eles viram você
ill be fine	vou ficar bem
dont do it	não faça isso
i need a map	eu preciso de um mapa
we succeeded	nós conseguimos
ignore them	ignoremnos
he lost face	ele perdeu o respeito
are we safe	nós estamos seguros
is that ok	está ok
its perfect	isso é perfeito
how strange	que estranho
im not fat	eu não sou gorda
youll see	você verá
stop	parem
i hate dogs	eu odeio cachorros
follow me	me siga
calm down	acalmese
leave now	vá embora agora
i made two	eu fiz dois
may i begin	posso começar
its fair	é justo
be content	fique contente
im waiting	eu estou esperando
i didnt ask	eu não pedi
is this art	isto é arte
write to tom	escreva para o tom
its perfect	é perfeito
this is new	isso é novo
iron is hard	o ferro é duro
dont leave	não vá embora
tom gloated	tom vangloriouse
youre dying	você está morrendo
do you snore	você ronca
i missed you	senti saudade
who will win	quem vai ganhar
theyre boys	eles são meninos
are you done	terminou
im blind	eu sou cego
im strong	eu sou forte
find tom	encontre o tom
they crashed	eles bateram
look closer	olhem mais de perto
get real	cai na real
that does it	o tom faz isso
get over here	vem pra cá
follow me	me sigam
toms polite	tom é educado
im diabetic	eu sou diabético
help yourself	sirvamse
leave me	deixeme
be confident	sejam confiantes
i did my best	fiz o meu melhor
tom died	tom morreu
he came first	ele chegou primeiro
you know me	você me conhece
cheers	saúde
ill stay	ficarei
keep dancing	continuem dançando
have courage	tenham coragem
do your best	faça o seu melhor
i helped out	ajudei
tom is sick	tom está doente
its old	é velho
tomll go	tom vai
really	é mesmo
well drive	vamos dirigir
i was sad	eu fiquei triste
ill be ok	eu vou ficar bem
we think so	nós achamos que sim
im so happy	estou muito feliz
forget it	esqueçam
i like chess	eu gosto de xadrez
how delicious	que delícia
tom swam	o tom nadou
get real	cai na real
toms wrong	o tom está errado
dont leave	não vá embora
she cried	ela chorava
im diabetic	sou diabético
i came by bus	eu vim de ônibus
i came by bus	vim de ônibus
tom stood	o tom levantou
should i go	devo ir
who cheated	quem trapaceou
do i know tom	eu conheço o tom
ill fix it	irei consertálo
he was crying	ele estava chorando
we can swim	nós sabemos nadar
dont risk it	não se aventure
trust in god	confia em deus
who quit	quem desistiu
dont call me	não ligue para mim
trust me	confie em mim
toms lying	tom está mentindo
we miss you	nós sentimos saudades de você
come on	vamos
tom is lucky	o tom tem sorte
tell me	digame
we cant sue	nós não podemos processar
turn left	vire à esquerda
listen	escute
who canceled	quem cancelou
i was full	eu estava cheio
i already ate	eu já comi
im serious	estou falando sério
its me	sou eu
tom is lying	tom está mentindo
he lied to me	ele mentiu para mim
can i help	posso ajudar
wood floats	a madeira boia
cool off	acalmese
i was asleep	eu estava dormindo
i want money	eu quero dinheiro
i see a star	estou vendo uma estrela
were poor	somos pobres
is it white	é branco
can i stay	eu posso ficar
who are they	quem são eles
dont stare	não encara
here he comes	lá vem ele
is tom happy	tom está feliz
i love fish	eu adoro peixe
could we walk	poderíamos caminhar
im a klutz	sou um desastrado
thats great	que bom
he gave up	ele desistiu
youre smart	você é esperto
i want mine	quero a minha
i love you	eu a amo
well try	tentaremos
its all wet	está tudo molhado
am i invited	eu estou convidado
were angry	nós estamos bravos
i dont bite	não mordo
i didnt vote	eu não votei
im honest	eu sou honesto
im nervous	estou nervosa
forgive us	perdoenos
whos wrong	quem está errado
i loved you	eu te amei
i made two	eu fiz duas
youre nuts	estás doido
well check	nós verificaremos
tom helps us	tom nos ajuda
i do like you	gosto muito de vocês
kiss tom	beije tom
im early	estou adiantado
how old is he	qual é a idade dele
call tom	ligue para o tom
its so dark	é tão escuro
how touching	que tocante
may i sing	posso cantar
were hot	estamos com calor
tom clapped	tom aplaudiu
i cant see	eu não consigo ver
youre lying	você está mentindo
whats that	o que que é isso
help yourself	servete
whos there	quem está aí
i see a rose	vejo a rosa
good morning	bom dia
how beautiful	que bonito
did i do that	eu fiz isso
i got it	entendi
i mean it	eu estou falando sério
who are we	quem nós somos
i dream a lot	eu sonho bastante
im drunk	estou bêbado
dont jump	não pule
hes out now	ele não está aqui agora
is it yours	é teu
he has a car	ele tem um carro
you stink	você fede
tom smokes	tom fuma
tomll call	tom irá ligar
i dont drink	eu não bebo
be creative	seja criativa
hes studying	ele está estudando
tom inhaled	tom inalou
i hate cats	eu odeio gatos
im safe	eu estou seguro
i have a car	eu tenho carro
can you skate	você sabe patinar
i have money	eu tenho dinheiro
i found you	encontrei você
hello girls	oi garotas
guess who won	adivinha quem ganhou
help yourself	sirvase
you are ugly	vocês são feios
i am who i am	sou o que sou
im home	cheguei
call me	me liga
did tom vote	tom votou
this is free	é de graça
im dancing	eu estou dançando
get me a beer	pega uma cerveja para mim
its for tom	é para tom
its a trap	é uma emboscada
its not tom	esse não é o tom
hes stupid	ele é burro
can you come	vocês podem vir
fill this out	preencha isto
wake them up	acordeos
come outside	venha aqui fora
come forward	venha adiante
im rational	eu sou racional
youre lying	você está mentindo
are you	você tem anos
keep going	continue
tom kneeled	tom se ajoelhou
dont move	não se mexa
its a fruit	é uma fruta
he is my type	ele é meu tipo
we survived	nós sobrevivemos
youre rich	você é rica
wait up	espere
well help	nós vamos ajudar
im a woman	eu sou uma mulher
i like blue	gosto de azul
tom chuckled	tom deu uma risada discreta
i fainted	eu desmaiei
come with us	venha conosco
take a look	dê uma olhada
is that all	é tudo
who resigned	quem renunciou
have faith	tenham fé
its missing	está faltando
am i dying	estou morrendo
youre old	você é velho
nobody cares	ninguém se importa
slow down	vá mais devagar
its late	está tarde
is tom awake	o tom está acordado
are you happy	você é feliz
dont argue	não discutam
how nice	que legal
i dont work	eu não trabalho
it suits me	isso me serve bem
i saw tom	eu vi o tom
dont laugh	não rias
its too hot	está quente demais
im busy	estou ocupada
excuse me	perdão
sign this	assine
here or to go	é para comer aqui ou para levar
i do like tom	gosto muito do tom
describe tom	descrevam o tom
thats true	é verdade
release him	liberteo
she sued him	ela o processou
i told tom	eu disse a tom
are you going	você está indo embora
we remember	nós nos lembramos
tom saved me	tom me salvou
i like them	eu gosto deles
i wont bite	eu não irei morder
its tom	é o tom
youre safe	tu estás seguro
dogs can swim	cachorros sabem nadar
what a phony	que hipócrita
were angry	nós estávamos bravos
theyre bad	eles são ruins
thats his	é dele
this stinks	isto fede
it is not so	não é assim
we are sick	nós estamos doentes
i disagreed	eu discordei
be objective	seja objetiva
how do you do	como você está
kiss me	me beija
i promised	prometi
tom talked	tom falou
wont you go	você não vai
how arrogant	que arrogante
he is eight	ele tem oito anos de idade
you made it	você conseguiu
it was ok	foi bonzinho
get started	comece
i wont run	eu não vou correr
youre tired	você está cansado
he kicked it	ele chutou
ive decided	eu decidi
im going	estou indo
its garbage	é lixo
math is hard	matemática é difícil
get down	desça
were lost	estamos perdidos
im a klutz	eu sou um desastrado
dont scream	não grites
im sad	estou triste
this is tom	esse é o tom
im untidy	sou desorganizado
stay away	fique longe
are you okay	você está bem
tom prepaid	tom preparou
im bossy	eu sou mandona
jump	pule
she can swim	ela consegue nadar
i know tom	conheço o tom
choose one	escolha um
take care	se cuida
